models/baseline_2_hlayers_16_hneurons_1e-05_1e-10_4.onnx, Train time: 3.095589 seconds
models/baseline_2_hlayers_16_hneurons_1e-05_1e-09_4.onnx, Train time: 3.309276 seconds
models/baseline_2_hlayers_16_hneurons_1e-05_1e-08_4.onnx, Train time: 3.248540 seconds
models/baseline_2_hlayers_16_hneurons_1e-05_1e-07_4.onnx, Train time: 3.224389 seconds
models/baseline_2_hlayers_16_hneurons_1e-05_1e-06_4.onnx, Train time: 3.188901 seconds
models/baseline_2_hlayers_16_hneurons_0.0001_1e-10_4.onnx, Train time: 3.150910 seconds
models/baseline_2_hlayers_16_hneurons_0.0001_1e-09_4.onnx, Train time: 3.346473 seconds
models/baseline_2_hlayers_16_hneurons_0.0001_1e-08_4.onnx, Train time: 3.215883 seconds
models/baseline_2_hlayers_16_hneurons_0.0001_1e-07_4.onnx, Train time: 3.225548 seconds
models/baseline_2_hlayers_16_hneurons_0.0001_1e-06_4.onnx, Train time: 3.212994 seconds
models/baseline_2_hlayers_16_hneurons_0.001_1e-10_4.onnx, Train time: 3.233982 seconds
models/baseline_2_hlayers_16_hneurons_0.001_1e-09_4.onnx, Train time: 3.256178 seconds
models/baseline_2_hlayers_16_hneurons_0.001_1e-08_4.onnx, Train time: 3.238716 seconds
models/baseline_2_hlayers_16_hneurons_0.001_1e-07_4.onnx, Train time: 3.233088 seconds
models/baseline_2_hlayers_16_hneurons_0.001_1e-06_4.onnx, Train time: 3.404322 seconds

hl = 2, hn = 16, lr = 1e-05, wd = 1e-10, ni = 4, train accuracy: 0.5109142857142858, test accuracy: 0.5129333333333334
hl = 2, hn = 16, lr = 1e-05, wd = 1e-09, ni = 4, train accuracy: 0.5006857142857143, test accuracy: 0.4984
hl = 2, hn = 16, lr = 1e-05, wd = 1e-08, ni = 4, train accuracy: 0.6077428571428571, test accuracy: 0.6028666666666667
hl = 2, hn = 16, lr = 1e-05, wd = 1e-07, ni = 4, train accuracy: 0.8387142857142857, test accuracy: 0.8309333333333333
hl = 2, hn = 16, lr = 1e-05, wd = 1e-06, ni = 4, train accuracy: 0.5035142857142857, test accuracy: 0.505
hl = 2, hn = 16, lr = 0.0001, wd = 1e-10, ni = 4, train accuracy: 0.9096571428571428, test accuracy: 0.8909333333333334
hl = 2, hn = 16, lr = 0.0001, wd = 1e-09, ni = 4, train accuracy: 0.9056, test accuracy: 0.8894666666666666
hl = 2, hn = 16, lr = 0.0001, wd = 1e-08, ni = 4, train accuracy: 0.9059714285714285, test accuracy: 0.8894
hl = 2, hn = 16, lr = 0.0001, wd = 1e-07, ni = 4, train accuracy: 0.9136857142857143, test accuracy: 0.8918666666666667
hl = 2, hn = 16, lr = 0.0001, wd = 1e-06, ni = 4, train accuracy: 0.9105428571428571, test accuracy: 0.8904
hl = 2, hn = 16, lr = 0.001, wd = 1e-10, ni = 4, train accuracy: 0.9435142857142857, test accuracy: 0.8787333333333334
hl = 2, hn = 16, lr = 0.001, wd = 1e-09, ni = 4, train accuracy: 0.9450571428571428, test accuracy: 0.8795333333333333
hl = 2, hn = 16, lr = 0.001, wd = 1e-08, ni = 4, train accuracy: 0.9458285714285715, test accuracy: 0.8793333333333333
hl = 2, hn = 16, lr = 0.001, wd = 1e-07, ni = 4, train accuracy: 0.9442571428571429, test accuracy: 0.8802666666666666
hl = 2, hn = 16, lr = 0.001, wd = 1e-06, ni = 4, train accuracy: 0.9434285714285714, test accuracy: 0.8784
{'test_acc': np.float64(0.8918666666666667), 'train_acc': np.float64(0.9136857142857143), 'h_layers': 2, 'h_neurons': 16, 'lr': 0.0001, 'wd': 1e-07, 'num_iter': 4}
