2 hidden layers, 2 hidden neurons, 0.9542285714285714 train accuracy, 0.8708666666666667 test accuracy
2 hidden layers, 4 hidden neurons, 0.9728857142857142 train accuracy, 0.8648666666666667 test accuracy
2 hidden layers, 8 hidden neurons, 0.9886 train accuracy, 0.8626 test accuracy
2 hidden layers, 16 hidden neurons, 0.9802857142857143 train accuracy, 0.8648 test accuracy
4 hidden layers, 2 hidden neurons, 0.5006857142857143 train accuracy, 0.4984 test accuracy
4 hidden layers, 4 hidden neurons, 0.9709428571428571 train accuracy, 0.8606 test accuracy
4 hidden layers, 8 hidden neurons, 0.9810571428571428 train accuracy, 0.8615333333333334 test accuracy
4 hidden layers, 16 hidden neurons, 0.9864285714285714 train accuracy, 0.8609333333333333 test accuracy
8 hidden layers, 2 hidden neurons, 0.5006857142857143 train accuracy, 0.4984 test accuracy
8 hidden layers, 4 hidden neurons, 0.5006857142857143 train accuracy, 0.4984 test accuracy
8 hidden layers, 8 hidden neurons, 0.5006857142857143 train accuracy, 0.4984 test accuracy
8 hidden layers, 16 hidden neurons, 0.5006857142857143 train accuracy, 0.4984 test accuracy
16 hidden layers, 2 hidden neurons, 0.5006857142857143 train accuracy, 0.4984 test accuracy
16 hidden layers, 4 hidden neurons, 0.5006857142857143 train accuracy, 0.4984 test accuracy
16 hidden layers, 8 hidden neurons, 0.5006857142857143 train accuracy, 0.4984 test accuracy
16 hidden layers, 16 hidden neurons, 0.5006857142857143 train accuracy, 0.4984 test accuracy
32 hidden layers, 2 hidden neurons, 0.5006857142857143 train accuracy, 0.4984 test accuracy
32 hidden layers, 4 hidden neurons, 0.5006857142857143 train accuracy, 0.4984 test accuracy
32 hidden layers, 8 hidden neurons, 0.5006857142857143 train accuracy, 0.4984 test accuracy
32 hidden layers, 16 hidden neurons, 0.5006857142857143 train accuracy, 0.4984 test accuracy
{'test_acc': np.float64(0.8708666666666667), 'train_acc': np.float64(0.9542285714285714), 'h_layers': 2, 'h_neurons': 2, 'lr': 0.001, 'wd': 0.0001, 'num_iter': 32}
